# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [dwm] DynamicWeightedMajorityClassifier(base_estimator=NaiveBayes(nominal_attributes=None), beta=0.5, n_estimators=5, period=50, theta=0.01)
# [ht] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# [SKNN] SAMKNNClassifier(ltm_size=0.4, max_window_size=None, min_stm_size=50, n_neighbors=5, stm_size_option='maxACCApprox', use_ltm=True, weighting='distance')
# [HAD] HoeffdingAdaptiveTreeClassifier(binary_split=False, bootstrap_sampling=True, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, random_state=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# [ARF] AdaptiveRandomForestClassifier(binary_split=False, disable_weighted_vote=False, drift_detection_method=ADWIN(delta=0.001), grace_period=50, lambda_value=6, leaf_prediction='nba', max_byte_size=33554432, max_features='auto', memory_estimate_period=2000000, n_estimators=10, nb_threshold=0, no_preprune=False, nominal_attributes=None, performance_metric='acc', random_state=None, remove_poor_atts=False, split_confidence=0.01, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05, warning_detection_method=ADWIN(delta=0.01))
# [AEC] AdditiveExpertEnsembleClassifier(base_estimator=NaiveBayes(nominal_attributes=None), beta=0.8, gamma=0.1, n_estimators=5, pruning='weakest')
# EvaluatePrequential(batch_size=1000, data_points_for_classification=False, max_samples=52848, max_time=inf, metrics=['accuracy'], n_wait=200, output_file='result.csv', pretrain_size=200, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[dwm],current_acc_[dwm],mean_acc_[ht],current_acc_[ht],mean_acc_[SKNN],current_acc_[SKNN],mean_acc_[HAD],current_acc_[HAD],mean_acc_[ARF],current_acc_[ARF],mean_acc_[AEC],current_acc_[AEC]
200,0.609000,0.605000,0.651000,0.655000,0.552000,0.540000,0.660000,0.660000,0.654000,0.665000,0.651000,0.655000
1200,0.566000,0.565000,0.633000,0.665000,0.614500,0.685000,0.638500,0.655000,0.672500,0.710000,0.633000,0.665000
2200,0.458333,0.230000,0.618667,0.580000,0.632333,0.660000,0.622000,0.575000,0.676000,0.665000,0.618667,0.580000
3200,0.478000,0.550000,0.612750,0.585000,0.648250,0.730000,0.614000,0.585000,0.684500,0.755000,0.612750,0.585000
4200,0.499400,0.615000,0.614400,0.690000,0.659600,0.735000,0.617000,0.705000,0.689800,0.760000,0.614400,0.690000
5200,0.507167,0.540000,0.609667,0.565000,0.666333,0.740000,0.612833,0.580000,0.693500,0.735000,0.609667,0.565000
6200,0.482571,0.335000,0.604857,0.575000,0.670429,0.665000,0.608000,0.565000,0.694286,0.690000,0.604857,0.575000
7200,0.492375,0.550000,0.606750,0.620000,0.673750,0.735000,0.609875,0.620000,0.702125,0.790000,0.606750,0.620000
8200,0.497000,0.490000,0.604222,0.555000,0.679556,0.695000,0.607778,0.560000,0.708556,0.735000,0.604222,0.555000
9200,0.458000,0.130000,0.603600,0.615000,0.680600,0.750000,0.607200,0.630000,0.712600,0.750000,0.603600,0.615000
10200,0.427273,0.115000,0.600636,0.590000,0.684182,0.690000,0.604909,0.605000,0.715091,0.700000,0.600636,0.590000
11200,0.413750,0.270000,0.600667,0.625000,0.687917,0.805000,0.604583,0.635000,0.718667,0.795000,0.600667,0.625000
12200,0.405462,0.050000,0.607462,0.760000,0.663769,0.160000,0.610923,0.755000,0.687692,0.000000,0.607462,0.760000
13200,0.435500,0.870000,0.618857,0.795000,0.687786,1.000000,0.621357,0.775000,0.710000,1.000000,0.618857,0.795000
14200,0.416800,0.010000,0.589000,0.045000,0.652133,0.005000,0.591133,0.040000,0.672867,0.005000,0.589000,0.045000
15200,0.420625,0.505000,0.556500,0.080000,0.645875,0.550000,0.559063,0.075000,0.671813,0.725000,0.556500,0.080000
16200,0.429706,0.560000,0.532000,0.130000,0.644176,0.595000,0.561882,0.570000,0.672118,0.660000,0.532000,0.130000
